[12:15:30]  COMMAND	POST 	 "/wd/hub/session"
[12:15:30]  DATA		{"desiredCapabilities":{"javascriptEnabled":true,"locationContextEnabled":true,"handlesAlerts":true,"rotatable":true,"automationName":"UiAutomator2","platformName":"Android","platformVersion":"9","deviceName":"Pixel 2 XL API 28","app":"C:/Users/z003z7wz/Downloads/SimoQLatest.apk","requestOrigins":{"url":"http://webdriver.io","version":"4.13.2","name":"webdriverio"}}}
[12:15:47]  INFO	SET SESSION ID d8e57cfd-584b-4426-b2dc-fb21203bcd48
[12:15:47]  RESULT		{"platform":"LINUX","webStorageEnabled":false,"takesScreenshot":true,"javascriptEnabled":true,"databaseEnabled":false,"networkConnectionEnabled":true,"locationContextEnabled":true,"warnings":{},"desir ... (944 more bytes)
[12:15:50]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/element"
[12:15:50]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:15:50]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/elements"
[12:15:50]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:15:51]  RESULT		[]
[12:15:51]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/elements"
[12:15:51]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:15:51]  RESULT		[]
[12:15:51]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/elements"
[12:15:51]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:15:52]  RESULT		[]
[12:15:52]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/elements"
[12:15:52]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:15:52]  RESULT		[]
[12:15:52]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/elements"
[12:15:52]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:15:54]  RESULT		[{"ELEMENT":"154f7fd9-138f-4539-80c8-eeb2fdc218fc"}]
[12:15:54]  COMMAND	GET 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/screenshot"
[12:15:54]  DATA		{}
[12:15:54]  RESULT		"iVBORw0KGgoAAAANSUhEUgAABaAAAAtACAIAAABhuRNAAAAAAXNSR0IArs4c6QAAAANzQklUCAgI\n2+FP4AAAIABJREFUeJzsvcmSHEmSpilq7tgDQACIQGwZmdFZVE3dRPMIfe5LX+aJ+ymGqIeKpiqz\nMmNBIDbsq8N1Dm7ixizMP4uqqIiqmoL/g1GVpzI+M5Z ... (356510 more bytes)
[12:15:54]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/element"
[12:15:54]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:15:55]  RESULT		{"ELEMENT":"31417074-77cb-4aa7-a5fd-cf7d3f635e51"}
[12:15:55]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/element/31417074-77cb-4aa7-a5fd-cf7d3f635e51/clear"
[12:15:55]  DATA		{}
[12:15:55]  RESULT		"Element Cleared"
[12:15:55]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/element/31417074-77cb-4aa7-a5fd-cf7d3f635e51/value"
[12:15:55]  DATA		{"value":["p","r","i","t","i","s","h","@","g","m","(7 more items)"],"text":"pritish@gmail.com"}
[12:15:55]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/element"
[12:15:55]  DATA		{"using":"xpath","value":"//android.view.View[@resource-id='login_id']/../../../following-sibling::android.view.View/descendant::android.widget.EditText"}
[12:15:56]  RESULT		{"ELEMENT":"5279cc62-92a1-4fbe-ba01-5764f237d2a3"}
[12:15:56]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/element/5279cc62-92a1-4fbe-ba01-5764f237d2a3/clear"
[12:15:56]  DATA		{}
[12:15:56]  RESULT		"Element Cleared"
[12:15:56]  COMMAND	POST 	 "/wd/hub/session/d8e57cfd-584b-4426-b2dc-fb21203bcd48/element/5279cc62-92a1-4fbe-ba01-5764f237d2a3/value"
