[16:51:11]  COMMAND	POST 	 "/wd/hub/session"
[16:51:11]  DATA		{"desiredCapabilities":{"javascriptEnabled":true,"locationContextEnabled":true,"handlesAlerts":true,"rotatable":true,"automationName":"UiAutomator2","platformName":"Android","platformVersion":"9","deviceName":"Pixel 2 XL API 28","app":"C:/Users/z003z7wz/Downloads/SimoQLatest.apk","requestOrigins":{"url":"http://webdriver.io","version":"4.13.2","name":"webdriverio"}}}
[16:51:32]  INFO	SET SESSION ID b1cc3622-465e-4934-8680-6322b272604a
[16:51:32]  RESULT		{"platform":"LINUX","webStorageEnabled":false,"takesScreenshot":true,"javascriptEnabled":true,"databaseEnabled":false,"networkConnectionEnabled":true,"locationContextEnabled":true,"warnings":{},"desir ... (944 more bytes)
[16:51:39]  COMMAND	POST 	 "/wd/hub/session/b1cc3622-465e-4934-8680-6322b272604a/element"
[16:51:39]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[16:51:40]  RESULT		{"ELEMENT":"7939c1a8-b50e-4b9e-9490-a4fa919953fe"}
[16:51:40]  COMMAND	POST 	 "/wd/hub/session/b1cc3622-465e-4934-8680-6322b272604a/elements"
[16:51:40]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[16:51:41]  RESULT		[{"ELEMENT":"51b45bd5-008b-4720-9860-2331089a3b2e"}]
[16:51:41]  COMMAND	GET 	 "/wd/hub/session/b1cc3622-465e-4934-8680-6322b272604a/screenshot"
[16:51:41]  DATA		{}
[16:51:42]  RESULT		"iVBORw0KGgoAAAANSUhEUgAABaAAAAtACAIAAABhuRNAAAAAAXNSR0IArs4c6QAAAANzQklUCAgI\n2+FP4AAAIABJREFUeJzsvduSHEeSpmkemTiSAAiA4KHY1VVTsz0yuyL7Bnu9N3uzTzzPsdIi091T\nXSRBECDO58z0vciwDFVT/dXczc3cPRz6X4R0Zbvml6H ... (355918 more bytes)
[16:51:42]  COMMAND	POST 	 "/wd/hub/session/b1cc3622-465e-4934-8680-6322b272604a/element"
[16:51:42]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[16:51:43]  RESULT		{"ELEMENT":"1357c6f2-05f6-469c-987d-4c318e4f6fad"}
[16:51:43]  COMMAND	POST 	 "/wd/hub/session/b1cc3622-465e-4934-8680-6322b272604a/element/1357c6f2-05f6-469c-987d-4c318e4f6fad/clear"
[16:51:43]  DATA		{}
[16:51:43]  RESULT		"Element Cleared"
[16:51:43]  COMMAND	POST 	 "/wd/hub/session/b1cc3622-465e-4934-8680-6322b272604a/element/1357c6f2-05f6-469c-987d-4c318e4f6fad/value"
[16:51:43]  DATA		{"value":["p","r","i","t","i","s","h","@","g","m","(7 more items)"],"text":"pritish@gmail.com"}
[16:51:43]  COMMAND	POST 	 "/wd/hub/session/b1cc3622-465e-4934-8680-6322b272604a/element"
[16:51:43]  DATA		{"using":"xpath","value":"//android.view.View[@resource-id='login_id']/../../../following-sibling::android.view.View/descendant::android.widget.EditText"}
[16:51:43]  RESULT		{"ELEMENT":"8f9ae75d-cbb2-4de2-b01f-449dd7a1a1de"}
[16:51:43]  COMMAND	POST 	 "/wd/hub/session/b1cc3622-465e-4934-8680-6322b272604a/element/8f9ae75d-cbb2-4de2-b01f-449dd7a1a1de/clear"
[16:51:43]  DATA		{}
[16:51:44]  RESULT		"Element Cleared"
[16:51:44]  COMMAND	POST 	 "/wd/hub/session/b1cc3622-465e-4934-8680-6322b272604a/element/8f9ae75d-cbb2-4de2-b01f-449dd7a1a1de/value"
