[12:38:18]  COMMAND	POST 	 "/wd/hub/session"
[12:38:18]  DATA		{"desiredCapabilities":{"javascriptEnabled":true,"locationContextEnabled":true,"handlesAlerts":true,"rotatable":true,"automationName":"UiAutomator2","platformName":"Android","platformVersion":"9","deviceName":"Pixel 2 XL API 28","app":"C:/Users/z003z7wz/Downloads/SimoQLatest.apk","requestOrigins":{"url":"http://webdriver.io","version":"4.13.2","name":"webdriverio"}}}
[12:38:38]  INFO	SET SESSION ID 0985de40-df3b-42e0-9d45-8dfc1e44e8ec
[12:38:38]  RESULT		{"platform":"LINUX","webStorageEnabled":false,"takesScreenshot":true,"javascriptEnabled":true,"databaseEnabled":false,"networkConnectionEnabled":true,"locationContextEnabled":true,"warnings":{},"desir ... (944 more bytes)
[12:38:44]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element"
[12:38:44]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:38:45]  RESULT		{"ELEMENT":"4d8bf69f-b515-4d8a-a80d-336890b23171"}
[12:38:45]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/elements"
[12:38:45]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:38:46]  RESULT		[{"ELEMENT":"08f6f053-b32f-4712-9c88-5b8d524c7b6d"}]
[12:38:46]  COMMAND	GET 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/screenshot"
[12:38:46]  DATA		{}
[12:38:47]  RESULT		"iVBORw0KGgoAAAANSUhEUgAABaAAAAtACAIAAABhuRNAAAAAAXNSR0IArs4c6QAAAANzQklUCAgI\n2+FP4AAAIABJREFUeJzsvclyHMmSpmseAAcABOc5x3NKqqVbpB+h173pzX3ifoor0ldKblWdk5nM\n5EyCGEkA4b1AGELNVH81d3PzIZz6L0KqcELxRah9pmK ... (358590 more bytes)
[12:38:47]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element"
[12:38:47]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:38:48]  RESULT		{"ELEMENT":"424bbb5b-5f21-4646-8347-77317340dfb9"}
[12:38:48]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element/424bbb5b-5f21-4646-8347-77317340dfb9/clear"
[12:38:48]  DATA		{}
[12:38:48]  RESULT		"Element Cleared"
[12:38:48]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element/424bbb5b-5f21-4646-8347-77317340dfb9/value"
[12:38:48]  DATA		{"value":["p","r","i","t","i","s","h","@","g","m","(7 more items)"],"text":"pritish@gmail.com"}
[12:38:48]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element"
[12:38:48]  DATA		{"using":"xpath","value":"//android.view.View[@resource-id='login_id']/../../../following-sibling::android.view.View/descendant::android.widget.EditText"}
[12:38:49]  RESULT		{"ELEMENT":"7bf27085-6488-4c0f-8e4c-b88a3572509f"}
[12:38:49]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element/7bf27085-6488-4c0f-8e4c-b88a3572509f/clear"
[12:38:49]  DATA		{}
[12:38:49]  RESULT		"Element Cleared"
[12:38:49]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element/7bf27085-6488-4c0f-8e4c-b88a3572509f/value"
[12:38:49]  DATA		{"value":["q","w","e","r","t","y","1","!"],"text":"qwerty1!"}
[12:38:49]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element"
[12:38:49]  DATA		{"using":"xpath","value":"//android.widget.Button[contains(@text,'Login')]"}
[12:38:50]  RESULT		{"ELEMENT":"834cc85c-a9b7-4b89-8c8c-b287d44b3c59"}
[12:38:50]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element/834cc85c-a9b7-4b89-8c8c-b287d44b3c59/click"
[12:38:50]  DATA		{}
[12:38:50]  RESULT		true
[12:38:50]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element"
[12:38:50]  DATA		{"using":"xpath","value":"//*[@resource-id='alert-msg-0']"}
[12:38:51]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/elements"
[12:38:51]  DATA		{"using":"xpath","value":"//*[@resource-id='alert-msg-0']"}
[12:38:52]  RESULT		[{"ELEMENT":"c82d40b9-100e-42c7-ab37-4a0b4d04e645"}]
[12:38:52]  COMMAND	GET 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/screenshot"
[12:38:52]  DATA		{}
[12:38:53]  RESULT		"iVBORw0KGgoAAAANSUhEUgAABaAAAAtACAIAAABhuRNAAAAAAXNSR0IArs4c6QAAAANzQklUCAgI\n2+FP4AAAIABJREFUeJzsvdmvJMt23hdZVXuee/fcp7vPOZf3kveSlq5k2rBFWYJkiaIlS6DlFxsw\nwD/PMGzAsB8kwZJl2fKLIMsQaEqkqMs7nD49D3uea1f ... (301564 more bytes)
[12:38:53]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element"
[12:38:53]  DATA		{"using":"xpath","value":"//*[@resource-id='alert-msg-0']"}
[12:38:53]  RESULT		{"ELEMENT":"b1c62009-2829-4f63-9317-01bebc16f45d"}
[12:38:53]  COMMAND	GET 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element/b1c62009-2829-4f63-9317-01bebc16f45d/text"
[12:38:53]  DATA		{}
[12:38:53]  RESULT		"Enter correct credentials !!"
[12:38:53]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element"
[12:38:53]  DATA		{"using":"xpath","value":"//android.widget.Button[contains(@text,'OK')]"}
[12:38:54]  RESULT		{"ELEMENT":"58d20cc8-9460-486c-8d4e-abdcd58a089d"}
[12:38:54]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element/58d20cc8-9460-486c-8d4e-abdcd58a089d/click"
[12:38:54]  DATA		{}
[12:38:54]  RESULT		true
[12:38:54]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/element"
[12:38:54]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:38:55]  RESULT		{"ELEMENT":"c2c8c0a9-a1c4-44c0-93b5-f1894d3ec8a2"}
[12:38:55]  COMMAND	POST 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/elements"
[12:38:55]  DATA		{"using":"xpath","value":"//*[@resource-id='login_id']/android.widget.EditText"}
[12:38:56]  RESULT		[{"ELEMENT":"f95acdb2-73bb-4de7-aa49-b4fba853d42d"}]
[12:38:56]  COMMAND	GET 	 "/wd/hub/session/0985de40-df3b-42e0-9d45-8dfc1e44e8ec/screenshot"
[12:38:56]  DATA		{}
